Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
1,19310101,19851231,478,47.8413,8.8493,Aach,Baden-Württemberg
3,18510101,20101231,202,50.7827,6.0941,Aachen,Nordrhein-Westfalen
44,19720101,20191231,44,52.9336,8.237,Großenkneten,Niedersachsen
52,19730101,20011231,46,53.6623,10.199,Ahrensburg-Wulfsdorf,Schleswig-Holstein
61,19760101,19771231,339,48.8443,12.6171,Aiterhofen,Bayern
70,19740101,19851231,712,48.2052,9.0371,Albstadt-Ebingen,Baden-Württemberg
71,19870101,20191231,759,48.2156,8.9784,Albstadt-Badkap,Baden-Württemberg
72,19790101,19941231,794,48.2766,9.0001,Albstadt-Onstmettingen,Baden-Württemberg
73,19530101,20191231,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern
78,19610101,20191231,65,52.4853,7.9126,Alfhausen,Niedersachsen
91,19790101,20191231,300,50.7446,9.345,Alsfeld-Eifa,Hessen
98,18870101,19541231,780,51.189,8.4671,Altastenberg,Nordrhein-Westfalen
102,20020101,20191231,32,53.8633,8.1275,Leuchtturm Alte Weser,Niedersachsen
106,19730101,19921231,500,51.7976,10.4429,Altenau,Niedersachsen
116,19000101,19721231,213,50.9833,12.4333,Altenburg,Thüringen
129,19910101,20061231,33,53.6893,13.242,Altentreptow,Mecklenburg-Vorpommern
131,20050101,20191231,296,51.0881,12.9326,Geringswalde-Altgeringswalde,Sachsen
132,19540101,19861231,750,49.7725,12.3891,Altglashütte,Bayern
142,19550101,20191231,511,48.406,11.3117,Altomünster-Maisbrunn,Bayern
150,19010101,20191231,215,49.7273,8.1164,Alzey,Rheinland-Pfalz
151,18810101,20191231,382,49.4691,11.8546,Amberg-Unterammersricht,Bayern
154,19940101,20191231,516,48.0197,12.2925,Amerang-Pfaffing,Bayern
161,20120101,20191231,75,50.4237,7.4202,Andernach,Rheinland-Pfalz
164,19090101,20191231,54,53.0316,13.9908,Angermünde,Brandenburg
167,19400101,20191231,9,53.8412,13.6846,Anklam,Mecklenburg-Vorpommern
169,18810101,19661231,630,50.573,13.0053,Annaberg-Buchholz,Sachsen
172,19700101,19901231,395,52.2486,9.5056,Annaturm,Niedersachsen
174,19850101,19871231,250,49.1886,7.9766,Annweiler-Bindersbach,Rheinland-Pfalz
175,18810101,19751231,413,49.2964,10.5751,Ansbach,Bayern
176,19770101,19941231,481,49.2475,10.5826,Ansbach-Claffheim,Bayern
