"Start of experiment: 2015-11-21"
"BBCH: 7"
"Days_outside","Days_inside","Branch_id"
0,28,"B-01-01"
0,57,"B-01-02"
0,76,"B-01-03"
0,57,"B-01-04"
0,76,"B-01-05"
0,44,"B-01-06"
0,28,"B-01-07"
0,28,"B-01-08"
0,76,"B-01-09"
0,40,"B-01-10"
7,53,"B-02-01"
7,50,"B-02-02"
7,53,"B-02-03"
7,53,"B-02-04"
7,29,"B-02-05"
7,43,"B-02-06"
7,37,"B-02-07"
7,58,"B-02-08"
7,58,"B-02-09"
7,50,"B-02-10"
14,71,"B-03-01"
14,36,"B-03-02"
14,36,"B-03-03"
14,76,"B-03-04"
14,62,"B-03-05"
14,43,"B-03-06"
14,71,"B-03-07"
14,22,"B-03-08"
14,33,"B-03-09"
14,71,"B-03-10"
21,74,"B-04-01"
21,31,"B-04-02"
21,74,"B-04-03"
21,69,"B-04-04"
21,36,"B-04-05"
21,29,"B-04-06"
21,36,"B-04-07"
21,23,"B-04-08"
21,39,"B-04-09"
21,64,"B-04-10"
28,29,"B-05-01"
28,22,"B-05-02"
28,48,"B-05-03"
28,29,"B-05-04"
28,29,"B-05-05"
28,29,"B-05-06"
28,29,"B-05-07"
28,19,"B-05-08"
28,57,"B-05-09"
28,43,"B-05-10"
36,21,"B-06-01"
36,19,"B-06-02"
36,21,"B-06-03"
36,24,"B-06-04"
36,14,"B-06-05"
36,14,"B-06-06"
36,8,"B-06-07"
36,18,"B-06-08"
36,14,"B-06-09"
36,14,"B-06-10"
44,13,"B-07-01"
44,6,"B-07-02"
44,32,"B-07-03"
44,21,"B-07-04"
44,21,"B-07-05"
44,32,"B-07-06"
44,27,"B-07-07"
44,27,"B-07-08"
44,25,"B-07-09"
44,25,"B-07-10"
50,21,"B-08-01"
50,21,"B-08-02"
50,22,"B-08-03"
50,26,"B-08-04"
50,40,"B-08-05"
50,30,"B-08-06"
50,20,"B-08-07"
50,24,"B-08-08"
50,22,"B-08-09"
50,28,"B-08-10"
57,15,"B-09-01"
57,14,"B-09-02"
57,38,"B-09-03"
57,19,"B-09-04"
57,28,"B-09-05"
57,28,"B-09-06"
57,28,"B-09-07"
57,22,"B-09-08"
57,19,"B-09-09"
57,28,"B-09-10"
65,17,"B-10-01"
65,22,"B-10-02"
65,11,"B-10-03"
65,11,"B-10-04"
65,17,"B-10-05"
65,13,"B-10-06"
65,14,"B-10-07"
65,0,"B-10-08"
65,14,"B-10-09"
65,13,"B-10-10"
76,9,"B-11-01"
76,9,"B-11-02"
76,11,"B-11-03"
76,11,"B-11-04"
76,12,"B-11-05"
76,9,"B-11-06"
76,13,"B-11-07"
76,12,"B-11-08"
76,9,"B-11-09"
76,11,"B-11-10"
85,10,"B-12-01"
85,10,"B-12-02"
85,8,"B-12-03"
85,10,"B-12-04"
85,5,"B-12-05"
85,10,"B-12-06"
85,10,"B-12-07"
85,5,"B-12-08"
85,7,"B-12-09"
85,8,"B-12-10"
95,4,"B-13-01"
95,4,"B-13-02"
95,4,"B-13-03"
95,4,"B-13-04"
95,4,"B-13-05"
95,4,"B-13-06"
95,5,"B-13-07"
95,5,"B-13-08"
95,3,"B-13-09"
95,3,"B-13-10"
108,4,"B-14-01"
108,3,"B-14-02"
108,3,"B-14-03"
108,4,"B-14-04"
108,0,"B-14-05"
108,3,"B-14-06"
108,0,"B-14-07"
108,3,"B-14-08"
108,3,"B-14-09"
108,3,"B-14-10"
114,0,"B-15-01"
114,0,"B-15-02"
114,0,"B-15-03"
114,0,"B-15-04"
114,0,"B-15-05"
114,2,"B-15-06"
114,2,"B-15-07"
114,0,"B-15-08"
114,0,"B-15-09"
114,0,"B-15-10"
